sample_id,status,original_performance,optimized_performance,param_changes,top_params
4,success,[471.  570.   21.5],[462.39  564.07   25.625],"[{'param_index': np.int64(6), 'original': np.float32(0.8), 'optimized': np.float32(0.7030152), 'change_pct': np.float32(-12.1231)}, {'param_index': np.int64(2), 'original': np.float32(0.475), 'optimized': np.float32(0.54666007), 'change_pct': np.float32(15.08633)}, {'param_index': np.int64(0), 'original': np.float32(0.4277286), 'optimized': np.float32(0.40056667), 'change_pct': np.float32(-6.350271)}, {'param_index': np.int64(1), 'original': np.float32(0.28169015), 'optimized': np.float32(0.18353449), 'change_pct': np.float32(-34.84526)}, {'param_index': np.int64(5), 'original': np.float32(0.3296703), 'optimized': np.float32(0.23856848), 'change_pct': np.float32(-27.634222)}]","[6, 2, 0, 1, 5]"
13,success,[458. 562.  19.],[443.87 538.24  30.41],"[{'param_index': np.int64(6), 'original': np.float32(0.6909091), 'optimized': np.float32(0.6043489), 'change_pct': np.float32(-12.528449)}, {'param_index': np.int64(0), 'original': np.float32(0.42182887), 'optimized': np.float32(0.394417), 'change_pct': np.float32(-6.498341)}, {'param_index': np.int64(2), 'original': np.float32(0.46), 'optimized': np.float32(0.5514016), 'change_pct': np.float32(19.869915)}, {'param_index': np.int64(1), 'original': np.float32(0.28169015), 'optimized': np.float32(0.1959082), 'change_pct': np.float32(-30.45259)}, {'param_index': np.int64(5), 'original': np.float32(0.34065932), 'optimized': np.float32(0.24246499), 'change_pct': np.float32(-28.82479)}]","[6, 0, 2, 1, 5]"
15,success,[133.  275.   46.5],[160.62  324.25   45.895],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.09439763), 'change_pct': np.float32(843.9763)}, {'param_index': np.int64(0), 'original': np.float32(0.004129794), 'optimized': np.float32(0.043156017), 'change_pct': np.float32(944.99194)}, {'param_index': np.int64(5), 'original': np.float32(0.84615386), 'optimized': np.float32(0.7526701), 'change_pct': np.float32(-11.0480795)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.9477911), 'optimized': np.float32(0.87836426), 'change_pct': np.float32(-7.3251204)}]","[2, 0, 5, 1, 12]"
27,success,[131.  280.   47.5],[160.75  325.39   45.685],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.09878822), 'change_pct': np.float32(558.588)}, {'param_index': np.int64(0), 'original': np.float32(0.0053097345), 'optimized': np.float32(0.04365064), 'change_pct': np.float32(722.087)}, {'param_index': np.int64(5), 'original': np.float32(0.8791208), 'optimized': np.float32(0.7856371), 'change_pct': np.float32(-10.633777)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06948705), 'change_pct': np.float32(4833.5806)}, {'param_index': np.int64(12), 'original': np.float32(0.9477911), 'optimized': np.float32(0.87836426), 'change_pct': np.float32(-7.3251204)}]","[2, 0, 5, 1, 12]"
38,success,[129. 279.  46.],[161.59  325.     45.505],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.10066754), 'change_pct': np.float32(571.1169)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.040602487), 'change_pct': np.float32(1276.4243)}, {'param_index': np.int64(5), 'original': np.float32(0.79120874), 'optimized': np.float32(0.7063775), 'change_pct': np.float32(-10.721726)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.08031531), 'change_pct': np.float32(5602.3867)}, {'param_index': np.int64(12), 'original': np.float32(0.93172693), 'optimized': np.float32(0.8738465), 'change_pct': np.float32(-6.21217)}]","[2, 0, 5, 1, 12]"
39,success,[132.  274.   47.5],[167.58  326.96   45.705],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.10508511), 'change_pct': np.float32(950.85114)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.09238156), 'change_pct': np.float32(3031.7346)}, {'param_index': np.int64(5), 'original': np.float32(0.80219775), 'optimized': np.float32(0.8463467), 'change_pct': np.float32(5.503496)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.024284985), 'change_pct': np.float32(1624.2338)}, {'param_index': np.int64(12), 'original': np.float32(0.9196787), 'optimized': np.float32(0.8232108), 'change_pct': np.float32(-10.4893055)}]","[2, 0, 5, 1, 12]"
55,success,[426. 548.  22.],[428.2  540.74  26.36],"[{'param_index': np.int64(6), 'original': np.float32(0.74545455), 'optimized': np.float32(0.79523593), 'change_pct': np.float32(6.6779904)}, {'param_index': np.int64(0), 'original': np.float32(0.4159292), 'optimized': np.float32(0.36332634), 'change_pct': np.float32(-12.64707)}, {'param_index': np.int64(2), 'original': np.float32(0.48499998), 'optimized': np.float32(0.55987245), 'change_pct': np.float32(15.437622)}, {'param_index': np.int64(1), 'original': np.float32(0.29577464), 'optimized': np.float32(0.22325043), 'change_pct': np.float32(-24.520088)}, {'param_index': np.int64(5), 'original': np.float32(0.3296703), 'optimized': np.float32(0.23193306), 'change_pct': np.float32(-29.646969)}]","[6, 0, 2, 1, 5]"
57,success,[150.  274.   48.5],[172.44  327.15   46.145],"[{'param_index': np.int64(2), 'original': np.float32(0.01), 'optimized': np.float32(0.10678474), 'change_pct': np.float32(967.8474)}, {'param_index': np.int64(0), 'original': np.float32(0.002359882), 'optimized': np.float32(0.08587399), 'change_pct': np.float32(3538.9104)}, {'param_index': np.int64(5), 'original': np.float32(0.7582417), 'optimized': np.float32(0.6639951), 'change_pct': np.float32(-12.429628)}, {'param_index': np.int64(1), 'original': np.float32(0.0014084508), 'optimized': np.float32(0.06832256), 'change_pct': np.float32(4750.902)}, {'param_index': np.int64(12), 'original': np.float32(0.89959836), 'optimized': np.float32(0.8175893), 'change_pct': np.float32(-9.116188)}]","[2, 0, 5, 1, 12]"
74,success,[132. 275.  50.],[159.24  325.7    46.175],"[{'param_index': np.int64(2), 'original': np.float32(0.015000002), 'optimized': np.float32(0.112050116), 'change_pct': np.float32(647.0007)}, {'param_index': np.int64(0), 'original': np.float32(0.0029498525), 'optimized': np.float32(0.06285583), 'change_pct': np.float32(2030.8126)}, {'param_index': np.int64(5), 'original': np.float32(0.79120874), 'optimized': np.float32(0.8783142), 'change_pct': np.float32(11.009162)}, {'param_index': np.int64(1), 'original': np.float32(0.0028169015), 'optimized': np.float32(0.0021485246), 'change_pct': np.float32(-23.727379)}, {'param_index': np.int64(12), 'original': np.float32(0.93574286), 'optimized': np.float32(0.88528764), 'change_pct': np.float32(-5.3919954)}]","[2, 0, 5, 1, 12]"
83,success,[474. 566.  20.],[437.97  542.18   22.715],"[{'param_index': np.int64(2), 'original': np.float32(0.47), 'optimized': np.float32(0.44986966), 'change_pct': np.float32(-4.2830505)}, {'param_index': np.int64(6), 'original': np.float32(0.74545455), 'optimized': np.float32(0.7532179), 'change_pct': np.float32(1.0414218)}, {'param_index': np.int64(0), 'original': np.float32(0.38053095), 'optimized': np.float32(0.2999607), 'change_pct': np.float32(-21.173113)}, {'param_index': np.int64(1), 'original': np.float32(0.28169015), 'optimized': np.float32(0.2189422), 'change_pct': np.float32(-22.275524)}, {'param_index': np.int64(12), 'original': np.float32(0.38955832), 'optimized': np.float32(0.35941476), 'change_pct': np.float32(-7.7378807)}]","[2, 6, 0, 1, 12]"
