sample_id,status,original_performance,optimized_performance,param_changes,top_params_index,top_params
4,success,"[471.0, 570.0, 21.5]","[462.39, 564.07, 25.625]","[{'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.800000011920929, 'optimized': 0.7030152082443237, 'change_pct': -12.123100280761719}, {'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.4749999940395355, 'optimized': 0.5466600656509399, 'change_pct': 15.08633041381836}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.4277285933494568, 'optimized': 0.4005666673183441, 'change_pct': -6.350271224975586}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.28169015049934387, 'optimized': 0.18353448808193207, 'change_pct': -34.84526062011719}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.3296703100204468, 'optimized': 0.2385684847831726, 'change_pct': -27.63422203063965}]","[6, 2, 0, 1, 5]","['铌', '锰', '碳', '硅', '钛']"
13,success,"[458.0, 562.0, 19.0]","[443.87, 538.24, 30.41]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.46000000834465027, 'optimized': 0.5514016151428223, 'change_pct': 19.869915008544922}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.6909090876579285, 'optimized': 0.60434889793396, 'change_pct': -12.528449058532715}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.42182886600494385, 'optimized': 0.3944169878959656, 'change_pct': -6.498341083526611}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.28169015049934387, 'optimized': 0.19590820372104645, 'change_pct': -30.452590942382812}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.34065932035446167, 'optimized': 0.24246498942375183, 'change_pct': -28.82478904724121}]","[2, 6, 0, 1, 5]","['锰', '铌', '碳', '硅', '钛']"
15,success,"[133.0, 275.0, 46.5]","[160.62, 324.25, 45.895]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.09439762681722641, 'change_pct': 843.976318359375}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.004129793960601091, 'optimized': 0.04315601661801338, 'change_pct': 944.991943359375}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8461538553237915, 'optimized': 0.7526701092720032, 'change_pct': -11.048079490661621}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.06948705017566681, 'change_pct': 4833.58056640625}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9477910995483398, 'optimized': 0.8802365660667419, 'change_pct': -7.1275763511657715}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
27,success,"[131.0, 280.0, 47.5]","[160.75, 325.39, 45.685]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.015000002458691597, 'optimized': 0.09878821671009064, 'change_pct': 558.5880126953125}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.005309734493494034, 'optimized': 0.043650638312101364, 'change_pct': 722.0869750976562}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8791208267211914, 'optimized': 0.7856370806694031, 'change_pct': -10.633776664733887}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.06948705017566681, 'change_pct': 4833.58056640625}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9477910995483398, 'optimized': 0.8802365660667419, 'change_pct': -7.1275763511657715}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
38,success,"[129.0, 279.0, 46.0]","[161.59, 325.0, 45.505]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.015000002458691597, 'optimized': 0.1006675437092781, 'change_pct': 571.1168823242188}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0029498524963855743, 'optimized': 0.040602486580610275, 'change_pct': 1276.42431640625}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7912087440490723, 'optimized': 0.7063775062561035, 'change_pct': -10.721726417541504}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.08031530678272247, 'change_pct': 5602.38671875}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9317269325256348, 'optimized': 0.8750500082969666, 'change_pct': -6.0829973220825195}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
39,success,"[132.0, 274.0, 47.5]","[167.52, 326.96, 45.705]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.1050851121544838, 'change_pct': 950.8511352539062}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0029498524963855743, 'optimized': 0.0923815593123436, 'change_pct': 3031.734619140625}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.8021977543830872, 'optimized': 0.8463466763496399, 'change_pct': 5.503496170043945}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.024284984916448593, 'change_pct': 1624.2337646484375}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9196786880493164, 'optimized': 0.8275441527366638, 'change_pct': -10.018121719360352}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
55,success,"[426.0, 548.0, 22.0]","[428.2, 540.74, 26.36]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.48499998450279236, 'optimized': 0.5598724484443665, 'change_pct': 15.4376220703125}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.4159291982650757, 'optimized': 0.3633263409137726, 'change_pct': -12.647069931030273}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.7454545497894287, 'optimized': 0.7952359318733215, 'change_pct': 6.677990436553955}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.2957746386528015, 'optimized': 0.22325043380260468, 'change_pct': -24.52008819580078}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.3296703100204468, 'optimized': 0.23193305730819702, 'change_pct': -29.646968841552734}]","[2, 0, 6, 1, 5]","['锰', '碳', '铌', '硅', '钛']"
57,success,"[150.0, 274.0, 48.5]","[172.58, 302.99, 46.785]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.009999999776482582, 'optimized': 0.10734903812408447, 'change_pct': 973.4904174804688}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0023598819971084595, 'optimized': 0.09856919199228287, 'change_pct': 4076.86962890625}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7582417130470276, 'optimized': 0.6594512462615967, 'change_pct': -13.028888702392578}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0014084507711231709, 'optimized': 0.09283356368541718, 'change_pct': 6491.1826171875}, {'param_index': 3, 'param': '化学元素含量过程的磷', 'original': 0.05617978423833847, 'optimized': 0.032660406082868576, 'change_pct': -41.86448669433594}]","[2, 0, 5, 1, 3]","['锰', '碳', '钛', '硅', '磷']"
74,success,"[132.0, 275.0, 50.0]","[159.24, 325.62, 46.11]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.015000002458691597, 'optimized': 0.1006675437092781, 'change_pct': 571.1168823242188}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.0029498524963855743, 'optimized': 0.040602486580610275, 'change_pct': 1276.42431640625}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.7912087440490723, 'optimized': 0.7063775062561035, 'change_pct': -10.721726417541504}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.0028169015422463417, 'optimized': 0.08143080025911331, 'change_pct': 2790.793212890625}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.9357428550720215, 'optimized': 0.8780291676521301, 'change_pct': -6.167686939239502}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
83,success,"[474.0, 566.0, 20.0]","[437.97, 542.18, 22.715]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.4699999988079071, 'optimized': 0.44986966252326965, 'change_pct': -4.283050537109375}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.7454545497894287, 'optimized': 0.753217875957489, 'change_pct': 1.0414217710494995}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.3805309534072876, 'optimized': 0.2999607026576996, 'change_pct': -21.173112869262695}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.28169015049934387, 'optimized': 0.21894219517707825, 'change_pct': -22.275524139404297}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.3895583152770996, 'optimized': 0.3607792556285858, 'change_pct': -7.387612819671631}]","[2, 6, 0, 1, 12]","['锰', '铌', '碳', '硅', '卷取温度平均值']"
91,success,"[473.0, 612.0, 17.0]","[426.76, 591.16, 28.35]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.5950000286102295, 'optimized': 0.6679810881614685, 'change_pct': 12.265724182128906}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.4572271406650543, 'optimized': 0.4030364155769348, 'change_pct': -11.852035522460938}, {'param_index': 6, 'param': '化学元素含量过程的铌', 'original': 0.6909090876579285, 'optimized': 0.5934875011444092, 'change_pct': -14.100493431091309}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.35211268067359924, 'optimized': 0.2581806778907776, 'change_pct': -26.676687240600586}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.3076923191547394, 'optimized': 0.2210713028907776, 'change_pct': -28.15182876586914}]","[2, 0, 6, 1, 5]","['锰', '碳', '铌', '硅', '钛']"
103,success,"[449.0, 676.0, 20.5]","[424.03, 665.22, 30.76]","[{'param_index': 2, 'param': '化学元素含量过程的锰', 'original': 0.9000000357627869, 'optimized': 0.9669374227523804, 'change_pct': 7.4374871253967285}, {'param_index': 0, 'param': '化学元素含量过程的碳', 'original': 0.41002947092056274, 'optimized': 0.48101621866226196, 'change_pct': 17.312597274780273}, {'param_index': 1, 'param': '化学元素含量过程的硅', 'original': 0.35211268067359924, 'optimized': 0.2605518102645874, 'change_pct': -26.003286361694336}, {'param_index': 5, 'param': '化学元素含量过程的钛', 'original': 0.19780218601226807, 'optimized': 0.12343277782201767, 'change_pct': -37.597869873046875}, {'param_index': 12, 'param': '热轧过程的卷取温度平均值', 'original': 0.18072295188903809, 'optimized': 0.1660928726196289, 'change_pct': -8.095307350158691}]","[2, 0, 1, 5, 12]","['锰', '碳', '硅', '钛', '卷取温度平均值']"
