sample_id,status,original_performance,optimized_performance,param_changes,top_params_index,top_paras
4,success,"[471.0, 570.0, 21.5]","[462.81, 564.52, 25.395]","[{'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.04399999976158142, 'opt_val': 0.039876822382211685, 'change_pct': -9.37085747718811}, {'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.0099999904632568, 'opt_val': 1.0961207151412964, 'change_pct': 8.52680429816246}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0729999989271164, 'opt_val': 0.08747001737356186, 'change_pct': 19.8219433426857}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.20000000298023224, 'opt_val': 0.1290000081062317, 'change_pct': -35.499995946884155}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.029999999329447746, 'opt_val': 0.020899999886751175, 'change_pct': -30.33333122730255}]","[6, 2, 0, 1, 5]","['铌', '锰', '碳', '硅', '钛']"
13,success,"[458.0, 562.0, 19.0]","[420.99, 535.26, 23.64]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.9800000190734863, 'opt_val': 0.8446232676506042, 'change_pct': -13.813954591751099}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.07199999690055847, 'opt_val': 0.08874999731779099, 'change_pct': 23.26389104127884}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.03799999877810478, 'opt_val': 0.03427688032388687, 'change_pct': -9.797680377960205}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.20000000298023224, 'opt_val': 0.1290000081062317, 'change_pct': -35.499995946884155}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.03099999949336052, 'opt_val': 0.033875759690999985, 'change_pct': 9.276645630598068}]","[2, 0, 6, 1, 5]","['锰', '碳', '铌', '硅', '钛']"
15,success,"[133.0, 275.0, 46.5]","[150.65, 282.79, 46.77]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.07999999821186066, 'opt_val': 0.13239185512065887, 'change_pct': 65.48982262611389}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0012000000569969416, 'opt_val': 0.0042535713873803616, 'change_pct': 254.4642686843872}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07699999958276749, 'opt_val': 0.06901909410953522, 'change_pct': -10.36481261253357}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.0, 'change_pct': -100.0}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 743.0, 'opt_val': 742.4119873046875, 'change_pct': -0.0791403348557651}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
27,success,"[131.0, 280.0, 47.5]","[150.55, 281.44, 46.62]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.09000000357627869, 'opt_val': 0.1785212606191635, 'change_pct': 98.35695028305054}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0014000000664964318, 'opt_val': 0.008543158881366253, 'change_pct': 510.22562980651855}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07999999821186066, 'opt_val': 0.0857468768954277, 'change_pct': 7.183598726987839}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.010628393851220608, 'change_pct': 962.8393173217773}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 743.0, 'opt_val': 739.1517944335938, 'change_pct': -0.5179280880838633}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
38,success,"[129.0, 279.0, 46.0]","[147.18, 281.37, 46.245]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.09000000357627869, 'opt_val': 0.05999999865889549, 'change_pct': -33.33333730697632}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0010000000474974513, 'opt_val': 0.00962500087916851, 'change_pct': 862.5}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07199999690055847, 'opt_val': 0.0683995932340622, 'change_pct': -5.0005607306957245}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.03700000047683716, 'change_pct': 3600.0}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 739.0, 'opt_val': 749.0, 'change_pct': 1.353179942816496}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
39,success,"[132.0, 274.0, 47.5]","[141.68, 288.35, 46.735]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.07999999821186066, 'opt_val': 0.05999999865889549, 'change_pct': -25.0}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0010000000474974513, 'opt_val': 0.0005000000237487257, 'change_pct': -50.0}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.0729999989271164, 'opt_val': 0.0698581412434578, 'change_pct': -4.3039146810770035}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.003042770316824317, 'change_pct': 204.27703857421875}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 736.0, 'opt_val': 723.6027221679688, 'change_pct': -1.684412732720375}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
55,success,"[426.0, 548.0, 22.0]","[409.35, 539.87, 26.445]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.0299999713897705, 'opt_val': 0.8590973615646362, 'change_pct': -16.592486202716827}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.07100000232458115, 'opt_val': 0.07916153967380524, 'change_pct': 11.49512231349945}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.04100000113248825, 'opt_val': 0.04042613506317139, 'change_pct': -1.3996733352541924}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.20999999344348907, 'opt_val': 0.20999999344348907, 'change_pct': 0.0}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.029999999329447746, 'opt_val': 0.02433853968977928, 'change_pct': -18.871532380580902}]","[2, 0, 6, 1, 5]","['锰', '碳', '铌', '硅', '钛']"
57,success,"[150.0, 274.0, 48.5]","[149.22, 285.15, 48.1]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.07999999821186066, 'opt_val': 0.05999999865889549, 'change_pct': -25.0}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0008999999845400453, 'opt_val': 0.0005000000237487257, 'change_pct': -44.44444179534912}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.0689999982714653, 'opt_val': 0.060466766357421875, 'change_pct': -12.367003411054611}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0010000000474974513, 'opt_val': 0.026904091238975525, 'change_pct': 2590.4088973999023}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 731.0, 'opt_val': 711.4261474609375, 'change_pct': -2.6776816695928574}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
74,success,"[132.0, 275.0, 50.0]","[148.91, 279.47, 47.39]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 0.09000000357627869, 'opt_val': 0.05999999865889549, 'change_pct': -33.33333730697632}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.0010000000474974513, 'opt_val': 0.00962500087916851, 'change_pct': 862.5}, {'param_idx': 5, 'param_name': '化学元素含量过程的钛', 'ori_val': 0.07199999690055847, 'opt_val': 0.07757668197154999, 'change_pct': 7.7453963458538055}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.0020000000949949026, 'opt_val': 0.028230566531419754, 'change_pct': 1311.528205871582}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 740.0, 'opt_val': 738.1248779296875, 'change_pct': -0.25339487474411726}]","[2, 0, 5, 1, 12]","['锰', '碳', '钛', '硅', '卷取温度平均值']"
83,success,"[474.0, 566.0, 20.0]","[399.18, 539.27, 22.515]","[{'param_idx': 2, 'param_name': '化学元素含量过程的锰', 'ori_val': 1.0, 'opt_val': 0.8050000071525574, 'change_pct': -19.499999284744263}, {'param_idx': 6, 'param_name': '化学元素含量过程的铌', 'ori_val': 0.04100000113248825, 'opt_val': 0.043314870446920395, 'change_pct': 5.646022409200668}, {'param_idx': 0, 'param_name': '化学元素含量过程的碳', 'ori_val': 0.06499999761581421, 'opt_val': 0.0753905400633812, 'change_pct': 15.985450148582458}, {'param_idx': 1, 'param_name': '化学元素含量过程的硅', 'ori_val': 0.20000000298023224, 'opt_val': 0.13574521243572235, 'change_pct': -32.127395272254944}, {'param_idx': 12, 'param_name': '热轧过程的卷取温度平均值', 'ori_val': 604.0, 'opt_val': 606.0045166015625, 'change_pct': 0.3318736096844077}]","[2, 6, 0, 1, 12]","['锰', '铌', '碳', '硅', '卷取温度平均值']"
